Year,,Ölkə üzrə (vahid),şəhər (vahid),kənd (vahid),Bakı şəhəri (vahid),Naxçıvan Muxtar Respublikası (vahid),Abşeron-Xızı (vahid),Dağlıq Şirvan (vahid),Gəncə-Daşkəsən (vahid),Qarabağ (vahid),Qazax-Tovuz (vahid),Quba-Xaçmaz (vahid),Lənkəran-Astara (vahid),Mərkəzi-Aran (vahid),Mil-Muğan (vahid),Şəki-Zaqatala (vahid),Şərqi Zəngəzur (vahid),Şirvan-Salyan (vahid)
2024,,4352.0,1257.0,3095.0,387.0,213.0,111.0,227.0,257.0,442.0,320.0,409.0,542.0,345.0,249.0,358.0,307.0,185.0
2023,,4394.0,1250.0,3144.0,377.0,212.0,111.0,236.0,257.0,447.0,325.0,417.0,551.0,350.0,248.0,364.0,309.0,190.0
2022,,4381.0,1254.0,3127.0,372.0,212.0,108.0,239.0,256.0,444.0,326.0,417.0,546.0,351.0,247.0,363.0,309.0,191.0
2021,,4356.0,1243.0,3113.0,369.0,211.0,108.0,239.0,256.0,443.0,326.0,407.0,543.0,351.0,248.0,365.0,300.0,190.0
2020,,4335.0,1184.0,3151.0,368.0,211.0,108.0,239.0,255.0,443.0,322.0,404.0,541.0,350.0,248.0,360.0,299.0,187.0
2019,,4277.0,1171.0,3106.0,366.0,212.0,109.0,238.0,256.0,422.0,321.0,370.0,541.0,349.0,248.0,360.0,298.0,187.0
2018,,4212.0,1161.0,3051.0,362.0,215.0,108.0,236.0,256.0,417.0,308.0,357.0,538.0,337.0,246.0,360.0,285.0,187.0
2017,,4189,1160,3029,360,215,106,234,-,-,-,356,528,-,-,358,-,-
2016,,4158,1125,3033,335,216,103,232,-,-,-,355,533,-,-,361,-,-
2015,,4161,1146,3015,339,216,101,218,-,-,-,352,534,-,-,362,-,-
2014,,4144,1156,2988,342,216,100,206,-,-,-,350,529,-,-,356,-,-
2013,,3942,1135,2807,344,220,98,197,-,-,-,317,497,-,-,350,-,-
2012,,3897,1108,2789,341,221,96,197,-,-,-,310,482,-,-,341,-,-
2011,,3905,1114,2791,340,222,98,195,-,-,-,315,482,-,-,343,-,-
2010,,3775,1071,2704,338,222,98,187,-,-,-,310,479,-,-,332,-,-
2009,,3717,1064,2653,337,221,98,182,-,-,-,301,464,-,-,324,-,-
2008,,3717,1064,2653,337,221,98,182,-,-,-,301,464,-,-,324,-,-
